seed,rho_nominal,rho_realized,target_accuracy,separation_amplitude,mean_pairwise_action_separation,WARM_RELATED_mean,COLD_UNIFORM_mean,WARM_DISTANCE_MATCHED_mean,COLD_RANDOM_mean
42,1.0,1.0,0.6649999999999999,0.28,1.1095873970808408,24.0,215.0,24.0,423.0
42,0.7,0.8060805610912669,0.6174999999999999,0.28,1.116587900392628,24.0,146.0,24.0,
42,0.5,0.6018240516664106,0.6174999999999999,0.28,1.119760081343118,24.0,193.0,24.0,
42,0.3,0.3358119496472492,0.7124999999999999,0.28,1.1227366568463735,24.0,421.0,24.0,
42,0.0,-0.11769072916212618,0.6174999999999999,0.28,1.1269865456194514,24.0,430.0,24.0,
123,1.0,1.0000000000000002,0.6174999999999999,0.28,1.116263281614521,24.0,182.0,24.0,
123,0.7,0.8344664462035619,0.6649999999999999,0.28,1.1263613051663635,24.0,24.0,24.0,
123,0.5,0.672829681687865,0.6174999999999999,0.28,1.1290960352407364,24.0,65.0,24.0,
123,0.3,0.4577252886386388,0.6649999999999999,0.28,1.1311552273140166,24.0,47.0,24.0,
123,0.0,0.04262623928379214,0.6649999999999999,0.28,1.133439815702301,24.0,24.0,24.0,
777,1.0,0.9999999999999999,0.57,0.28,1.1170721896846374,24.0,31.0,24.0,105.0
777,0.7,0.8139469939080927,0.6649999999999999,0.28,1.1236968366083255,24.0,527.0,24.0,
777,0.5,0.6224043017259268,0.7124999999999999,0.28,1.1257580231276867,24.0,327.0,24.0,
777,0.3,0.3712750298051169,0.57,0.28,1.1274554415730274,24.0,40.0,24.0,
777,0.0,-0.07293766431342134,0.6174999999999999,0.28,1.1295665511627,24.0,135.0,24.0,
